dataset,algorithm,k,d,trial,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,FTRL,10,50,0,202,0.335065,59.538849,1,0.034
MNIST,FTRL,10,50,0,203,0.280563,59.819412,1,0.034
MNIST,FTRL,10,50,0,204,0.286557,60.105968,1,0.034
MNIST,FTRL,10,50,0,205,0.258395,60.364363,1,0.034
MNIST,FTRL,10,50,0,206,0.417929,60.782292,1,0.034
MNIST,FTRL,10,50,0,207,0.377946,61.160238,1,0.035
MNIST,FTRL,10,50,0,208,0.186878,61.347116,1,0.035
MNIST,FTRL,10,50,0,209,0.152121,61.499237,1,0.035
MNIST,FTRL,10,50,0,210,0.225156,61.724393,1,0.035
MNIST,FTRL,10,50,0,211,0.396922,62.121315,1,0.035
MNIST,FTRL,10,50,0,212,0.108233,62.229548,1,0.035
MNIST,FTRL,10,50,0,213,0.243477,62.473025,1,0.035
MNIST,FTRL,10,50,0,214,0.117263,62.590288,1,0.036
MNIST,FTRL,10,50,0,215,0.136918,62.727206,1,0.036
MNIST,FTRL,10,50,0,216,0.140376,62.867582,1,0.036
MNIST,FTRL,10,50,0,217,0.113056,62.980638,1,0.036
MNIST,FTRL,10,50,0,218,0.265154,63.245792,1,0.036
MNIST,FTRL,10,50,0,219,0.266155,63.511947,1,0.036
MNIST,FTRL,10,50,0,220,0.329007,63.840953,1,0.037
MNIST,FTRL,10,50,0,221,0.219892,64.060846,1,0.037
MNIST,FTRL,10,50,0,222,0.372297,64.433143,1,0.037
MNIST,FTRL,10,50,0,223,0.254561,64.687704,1,0.037
MNIST,FTRL,10,50,0,224,0.138258,64.825962,1,0.037
MNIST,FTRL,10,50,0,225,0.362754,65.188716,1,0.037
MNIST,FTRL,10,50,0,226,0.280345,65.469061,1,0.037
MNIST,FTRL,10,50,0,227,0.300973,65.770034,1,0.038
MNIST,FTRL,10,50,0,228,0.382595,66.152629,1,0.038
MNIST,FTRL,10,50,0,229,0.202425,66.355053,1,0.038
MNIST,FTRL,10,50,0,230,0.458544,66.813597,1,0.038
MNIST,FTRL,10,50,0,231,0.460177,67.273774,1,0.038
MNIST,FTRL,10,50,0,232,0.332487,67.606261,1,0.038
MNIST,FTRL,10,50,0,233,0.144239,67.750500,1,0.039
MNIST,FTRL,10,50,0,234,0.150141,67.900642,1,0.039
MNIST,FTRL,10,50,0,235,0.136025,68.036666,1,0.039
MNIST,FTRL,10,50,0,236,0.224752,68.261418,1,0.039
MNIST,FTRL,10,50,0,237,0.281439,68.542856,1,0.039
MNIST,FTRL,10,50,0,238,0.368302,68.911159,1,0.039
MNIST,FTRL,10,50,0,239,0.324368,69.235527,1,0.039
MNIST,FTRL,10,50,0,240,0.304947,69.540474,1,0.040
MNIST,FTRL,10,50,0,241,0.251072,69.791546,1,0.040
MNIST,FTRL,10,50,0,242,0.233530,70.025076,1,0.040
MNIST,FTRL,10,50,0,243,0.098144,70.123220,1,0.040
MNIST,FTRL,10,50,0,244,0.250895,70.374115,1,0.040
MNIST,FTRL,10,50,0,245,0.278248,70.652363,1,0.040
MNIST,FTRL,10,50,0,246,0.513548,71.165911,1,0.041
MNIST,FTRL,10,50,0,247,0.384677,71.550588,1,0.041
MNIST,FTRL,10,50,0,248,0.166993,71.717582,1,0.041
MNIST,FTRL,10,50,0,249,0.200841,71.918423,1,0.041
MNIST,FTRL,10,50,0,250,0.156305,72.074728,1,0.041
MNIST,FTRL,10,50,0,251,0.361664,72.436392,1,0.042
MNIST,FTRL,10,50,0,252,0.136471,72.572863,1,0.042
MNIST,FTRL,10,50,0,253,0.117245,72.690108,1,0.042
MNIST,FTRL,10,50,0,254,0.317129,73.007237,1,0.042
MNIST,FTRL,10,50,0,255,0.278428,73.285665,1,0.042
MNIST,FTRL,10,50,0,256,0.333234,73.618899,1,0.042
MNIST,FTRL,10,50,0,257,0.234445,73.853343,1,0.043
MNIST,FTRL,10,50,0,258,0.339815,74.193159,1,0.043
MNIST,FTRL,10,50,0,259,0.201055,74.394214,1,0.043
MNIST,FTRL,10,50,0,260,0.323086,74.717300,1,0.043
MNIST,FTRL,10,50,0,261,0.248777,74.966077,1,0.043
MNIST,FTRL,10,50,0,262,0.201418,75.167494,1,0.043
MNIST,FTRL,10,50,0,263,0.305870,75.473364,1,0.044
MNIST,FTRL,10,50,0,264,0.272861,75.746225,1,0.044
MNIST,FTRL,10,50,0,265,0.227449,75.973674,1,0.044
MNIST,FTRL,10,50,0,266,0.203341,76.177016,1,0.044
MNIST,FTRL,10,50,0,267,0.401679,76.578694,1,0.044
MNIST,FTRL,10,50,0,268,0.509017,77.087711,1,0.044
MNIST,FTRL,10,50,0,269,0.174514,77.262225,1,0.044
MNIST,FTRL,10,50,0,270,0.163350,77.425575,1,0.045
MNIST,FTRL,10,50,0,271,0.283220,77.708795,1,0.045
MNIST,FTRL,10,50,0,272,0.484553,78.193348,1,0.045
MNIST,FTRL,10,50,0,273,0.319734,78.513082,1,0.045
MNIST,FTRL,10,50,0,274,0.146204,78.659286,1,0.045
MNIST,FTRL,10,50,0,275,0.222640,78.881925,1,0.045
MNIST,FTRL,10,50,0,276,0.378380,79.260306,1,0.046
MNIST,FTRL,10,50,0,277,0.234414,79.494720,1,0.046
MNIST,FTRL,10,50,0,278,0.246804,79.741524,1,0.046
MNIST,FTRL,10,50,0,279,0.148837,79.890362,1,0.046
MNIST,FTRL,10,50,0,280,0.094081,79.984443,1,0.046
MNIST,FTRL,10,50,0,281,0.300914,80.285357,1,0.046
MNIST,FTRL,10,50,0,282,0.217466,80.502823,1,0.046
MNIST,FTRL,10,50,0,283,0.210332,80.713155,1,0.047
MNIST,FTRL,10,50,0,284,0.230604,80.943759,1,0.047
MNIST,FTRL,10,50,0,285,0.267058,81.210817,1,0.047
MNIST,FTRL,10,50,0,286,0.224508,81.435325,1,0.047
MNIST,FTRL,10,50,0,287,0.199025,81.634349,1,0.047
MNIST,FTRL,10,50,0,288,0.187828,81.822177,1,0.047
MNIST,FTRL,10,50,0,289,0.319000,82.141177,1,0.048
MNIST,FTRL,10,50,0,290,0.429761,82.570939,1,0.048
MNIST,FTRL,10,50,0,291,0.413704,82.984643,1,0.048
MNIST,FTRL,10,50,0,292,0.436110,83.420752,1,0.048
MNIST,FTRL,10,50,0,293,0.265579,83.686331,1,0.048
MNIST,FTRL,10,50,0,294,0.344047,84.030378,1,0.048
MNIST,FTRL,10,50,0,295,0.185778,84.216156,1,0.048
MNIST,FTRL,10,50,0,296,0.132770,84.348926,1,0.049
MNIST,FTRL,10,50,0,297,0.358762,84.707688,1,0.049
MNIST,FTRL,10,50,0,298,0.135964,84.843652,1,0.049
MNIST,FTRL,10,50,0,299,0.304039,85.147691,1,0.049
MNIST,FTRL,10,50,0,300,0.206482,85.354173,1,0.049
MNIST,FTRL,10,50,0,301,0.142713,85.496886,1,0.049
MNIST,FTRL,10,50,0,302,0.376192,85.873078,1,0.050
MNIST,FTRL,10,50,0,303,0.146183,86.019261,1,0.050
MNIST,FTRL,10,50,0,304,0.257675,86.276936,1,0.050
MNIST,FTRL,10,50,0,305,0.411953,86.688889,1,0.050
MNIST,FTRL,10,50,0,306,0.265355,86.954244,1,0.050
MNIST,FTRL,10,50,0,307,0.185627,87.139871,1,0.050
MNIST,FTRL,10,50,0,308,0.247219,87.387090,1,0.051
MNIST,FTRL,10,50,0,309,0.247762,87.634853,1,0.051
MNIST,FTRL,10,50,0,310,0.231835,87.866688,1,0.051
MNIST,FTRL,10,50,0,311,0.299846,88.166533,1,0.051
MNIST,FTRL,10,50,0,312,0.141426,88.307959,1,0.051
MNIST,FTRL,10,50,0,313,0.200421,88.508381,1,0.051
MNIST,FTRL,10,50,0,314,0.359185,88.867566,1,0.052
MNIST,FTRL,10,50,0,315,0.135718,89.003284,1,0.052
MNIST,FTRL,10,50,0,316,0.245035,89.248320,1,0.052
MNIST,FTRL,10,50,0,317,0.220877,89.469196,1,0.052
MNIST,FTRL,10,50,0,318,0.379954,89.849151,1,0.052
MNIST,FTRL,10,50,0,319,0.189535,90.038686,1,0.052
MNIST,FTRL,10,50,0,320,0.487179,90.525865,1,0.052
MNIST,FTRL,10,50,0,321,0.210189,90.736054,1,0.053
MNIST,FTRL,10,50,0,322,0.409953,91.146007,1,0.053
MNIST,FTRL,10,50,0,323,0.374684,91.520691,1,0.053
MNIST,FTRL,10,50,0,324,0.178994,91.699685,1,0.053
MNIST,FTRL,10,50,0,325,0.178945,91.878630,1,0.053
MNIST,FTRL,10,50,0,326,0.200897,92.079527,1,0.053
MNIST,FTRL,10,50,0,327,0.278778,92.358305,1,0.054
MNIST,FTRL,10,50,0,328,0.270840,92.629145,1,0.054
MNIST,FTRL,10,50,0,329,0.199980,92.829125,1,0.054
MNIST,FTRL,10,50,0,330,0.270490,93.099615,1,0.054
MNIST,FTRL,10,50,0,331,0.436712,93.536328,1,0.054
MNIST,FTRL,10,50,0,332,0.235360,93.771687,1,0.054
MNIST,FTRL,10,50,0,333,0.281347,94.053034,1,0.055
MNIST,FTRL,10,50,0,334,0.306347,94.359381,1,0.055
MNIST,FTRL,10,50,0,335,0.216436,94.575817,1,0.055
MNIST,FTRL,10,50,0,336,0.210479,94.786296,1,0.055
MNIST,FTRL,10,50,0,337,0.399687,95.185984,1,0.055
MNIST,FTRL,10,50,0,338,0.298053,95.484037,1,0.055
MNIST,FTRL,10,50,0,339,0.404395,95.888432,1,0.056
MNIST,FTRL,10,50,0,340,0.211561,96.099993,1,0.056
MNIST,FTRL,10,50,0,341,0.281431,96.381425,1,0.056
MNIST,FTRL,10,50,0,342,0.213685,96.595110,1,0.056
MNIST,FTRL,10,50,0,343,0.197334,96.792444,1,0.056
MNIST,FTRL,10,50,0,344,0.134588,96.927032,1,0.056
MNIST,FTRL,10,50,0,345,0.404402,97.331434,1,0.056
MNIST,FTRL,10,50,0,346,0.163813,97.495247,1,0.057
MNIST,FTRL,10,50,0,347,0.250561,97.745808,1,0.057
MNIST,FTRL,10,50,0,348,0.339348,98.085156,1,0.057
MNIST,FTRL,10,50,0,349,0.220995,98.306151,1,0.057
MNIST,FTRL,10,50,0,350,0.192861,98.499012,1,0.057
MNIST,FTRL,10,50,0,351,0.321686,98.820698,1,0.058
MNIST,FTRL,10,50,0,352,0.220750,99.041447,1,0.058
MNIST,FTRL,10,50,0,353,0.305679,99.347126,1,0.058
MNIST,FTRL,10,50,0,354,0.175431,99.522558,1,0.058
MNIST,FTRL,10,50,0,355,0.260312,99.782870,1,0.058
MNIST,FTRL,10,50,0,356,0.307928,100.090797,1,0.058
MNIST,FTRL,10,50,0,357,0.185000,100.275798,1,0.059
MNIST,FTRL,10,50,0,358,0.282316,100.558113,1,0.059
MNIST,FTRL,10,50,0,359,0.352731,100.910845,1,0.059
MNIST,FTRL,10,50,0,360,0.274704,101.185549,1,0.059
MNIST,FTRL,10,50,0,361,0.252166,101.437715,1,0.059
MNIST,FTRL,10,50,0,362,0.175559,101.613274,1,0.059
MNIST,FTRL,10,50,0,363,0.300329,101.913603,1,0.060
MNIST,FTRL,10,50,0,364,0.141568,102.055171,1,0.060
MNIST,FTRL,10,50,0,365,0.619268,102.674439,1,0.060
MNIST,FTRL,10,50,0,366,0.323509,102.997948,1,0.060
MNIST,FTRL,10,50,0,367,0.210074,103.208021,1,0.060
MNIST,FTRL,10,50,0,368,0.090188,103.298210,1,0.060
MNIST,FTRL,10,50,0,369,0.292758,103.590967,1,0.060
MNIST,FTRL,10,50,0,370,0.265271,103.856238,1,0.061
MNIST,FTRL,10,50,0,371,0.108639,103.964877,1,0.061
MNIST,FTRL,10,50,0,372,0.320886,104.285764,1,0.061
MNIST,FTRL,10,50,0,373,0.329499,104.615263,1,0.061
MNIST,FTRL,10,50,0,374,0.240406,104.855668,1,0.061
MNIST,FTRL,10,50,0,375,0.360285,105.215954,1,0.061
MNIST,FTRL,10,50,0,376,0.327207,105.543161,1,0.062
MNIST,FTRL,10,50,0,377,0.108263,105.651424,1,0.062
MNIST,FTRL,10,50,0,378,0.095065,105.746489,1,0.062
MNIST,FTRL,10,50,0,379,0.142253,105.888742,1,0.062
MNIST,FTRL,10,50,0,380,0.119745,106.008486,1,0.062
MNIST,FTRL,10,50,0,381,0.292544,106.301031,1,0.062
MNIST,FTRL,10,50,0,382,0.107024,106.408055,1,0.062
MNIST,FTRL,10,50,0,383,0.120995,106.529050,1,0.063
MNIST,FTRL,10,50,0,384,0.331950,106.861000,1,0.063
MNIST,FTRL,10,50,0,385,0.271321,107.132320,1,0.063
MNIST,FTRL,10,50,0,386,0.239062,107.371383,1,0.063
MNIST,FTRL,10,50,0,387,0.294618,107.666001,1,0.063
MNIST,FTRL,10,50,0,388,0.204616,107.870617,1,0.063
MNIST,FTRL,10,50,0,389,0.178632,108.049249,1,0.064
MNIST,FTRL,10,50,0,390,0.206402,108.255651,1,0.064
MNIST,FTRL,10,50,0,391,0.330094,108.585745,1,0.064
MNIST,FTRL,10,50,0,392,0.222314,108.808059,1,0.064
MNIST,FTRL,10,50,0,393,0.078991,108.887050,1,0.064
MNIST,FTRL,10,50,0,394,0.425502,109.312553,1,0.064
MNIST,FTRL,10,50,0,395,0.471033,109.783586,1,0.064
MNIST,FTRL,10,50,0,396,0.303746,110.087332,1,0.065
MNIST,FTRL,10,50,0,397,0.322473,110.409805,1,0.065
MNIST,FTRL,10,50,0,398,0.328048,110.737854,1,0.065
MNIST,FTRL,10,50,0,399,0.132102,110.869956,1,0.065
MNIST,FTRL,10,50,0,400,0.082774,110.952729,1,0.065
MNIST,FTRL,10,50,0,401,0.331195,111.283925,1,0.066
MNIST,FTRL,10,50,0,402,0.427307,111.711232,1,0.066
MNIST,FTRL,10,50,0,403,0.173687,111.884919,1,0.066
MNIST,FTRL,10,50,0,404,0.337592,112.222511,1,0.066
MNIST,FTRL,10,50,0,405,0.203427,112.425937,1,0.066
MNIST,FTRL,10,50,0,406,0.134599,112.560537,1,0.066
